CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
738,Germany,Male,37.0,7,140950.92,2,1.0,0.0,195333.98,0
645,France,Female,48.0,7,90612.34,1,1.0,1.0,149139.13,0
508,France,Female,64.0,2,0.0,1,1.0,1.0,6076.62,0
620,France,Male,41.0,3,0.0,2,1.0,1.0,137309.06,0
545,Germany,Male,33.0,1,132527.9,2,0.0,1.0,107429.71,0
708,France,Female,47.0,0,126589.12,2,0.0,1.0,132730.07,1
596,Spain,Female,76.0,9,134208.25,1,1.0,1.0,13455.43,0
597,Spain,Male,35.0,0,127510.99,1,1.0,1.0,155356.34,0
601,France,Male,50.0,2,115625.07,1,1.0,0.0,185855.21,0
586,Germany,Male,46.0,8,106968.96,1,1.0,1.0,79366.98,1
732,France,Male,36.0,7,126195.81,1,1.0,1.0,133172.48,0
792,Germany,Male,36.0,5,115725.24,2,0.0,0.0,1871.25,0
542,France,Male,32.0,7,107871.72,1,1.0,0.0,125302.64,0
561,France,Female,27.0,9,135637.0,1,1.0,0.0,153080.4,1
574,France,Male,34.0,1,112572.39,1,0.0,0.0,165626.6,0
619,Spain,Female,56.0,7,0.0,2,1.0,1.0,42442.21,0
812,Germany,Male,39.0,5,115730.71,3,1.0,1.0,185599.34,1
593,Spain,Female,40.0,2,0.0,1,1.0,1.0,5194.95,0
655,Spain,Female,34.0,4,109783.69,2,1.0,0.0,134034.32,0
760,France,Male,38.0,6,162888.73,1,1.0,0.0,91098.76,1
588,Spain,Male,46.0,8,0.0,1,1.0,0.0,61931.21,0
605,Spain,Male,41.0,5,103154.66,1,0.0,0.0,143203.78,0
627,Germany,Male,52.0,1,76101.81,2,0.0,1.0,177238.35,0
557,France,Female,46.0,4,96173.17,2,1.0,1.0,116378.31,0
580,France,Female,65.0,9,106804.26,3,1.0,0.0,107890.69,1
579,Germany,Male,31.0,6,139729.54,1,0.0,1.0,135815.38,0
617,France,Female,24.0,4,137295.19,2,1.0,1.0,91195.12,0
611,Spain,Male,46.0,6,0.0,2,1.0,0.0,45886.33,0
640,Germany,Male,48.0,1,111599.32,1,0.0,1.0,135995.58,0
748,France,Male,60.0,0,152335.7,1,1.0,0.0,126743.33,1
779,France,Female,48.0,2,115290.27,1,0.0,0.0,98912.69,1
677,France,Male,30.0,1,78133.15,1,0.0,1.0,174225.88,0
593,France,Male,41.0,6,0.0,2,1.0,1.0,99136.49,0
607,Spain,Male,28.0,1,135936.1,2,1.0,1.0,110560.14,0
651,Germany,Female,25.0,2,109175.14,2,1.0,0.0,114566.47,0
815,Spain,Female,57.0,5,0.0,3,0.0,0.0,38941.44,1
554,France,Male,44.0,7,85304.27,1,1.0,1.0,58076.52,0
641,France,Male,57.0,5,0.0,2,1.0,1.0,122449.18,0
647,Germany,Female,51.0,1,119741.77,2,0.0,0.0,54954.51,1
631,France,Male,29.0,7,0.0,2,0.0,1.0,125877.22,0
745,Spain,Male,40.0,3,88466.82,1,0.0,0.0,116331.42,0
682,France,Male,61.0,10,73688.2,1,1.0,1.0,172141.33,0
675,France,Female,61.0,5,62055.17,3,1.0,0.0,166305.16,1
485,Spain,Female,30.0,7,0.0,1,1.0,0.0,107067.37,0
850,Germany,Male,31.0,4,146587.3,1,1.0,1.0,89874.82,0
706,France,Male,38.0,1,0.0,2,1.0,0.0,122379.54,0
680,France,Female,37.0,10,123806.28,1,1.0,0.0,81776.84,1
574,France,Male,26.0,8,97460.1,1,1.0,1.0,43093.67,0
715,Spain,Male,38.0,2,96798.79,2,1.0,1.0,4554.67,0
624,France,Male,55.0,7,118793.6,1,1.0,1.0,95022.02,1
445,Germany,Female,34.0,7,131082.17,2,1.0,1.0,70618.0,0
591,France,Male,28.0,5,0.0,2,1.0,1.0,48606.92,0
415,France,Male,46.0,9,134950.19,3,0.0,0.0,178587.36,1
516,France,Female,29.0,2,104982.57,1,1.0,0.0,157378.5,0
718,Germany,Female,39.0,7,93148.74,2,1.0,1.0,190746.38,0
723,Germany,Male,52.0,5,131694.97,1,0.0,1.0,92873.5,1
850,Spain,Male,37.0,2,0.0,2,1.0,0.0,119969.99,0
768,Spain,Female,42.0,3,0.0,1,0.0,0.0,161242.99,1
680,France,Male,31.0,9,0.0,2,1.0,0.0,36145.53,0
600,France,Female,38.0,9,0.0,2,1.0,1.0,58855.85,0
706,Germany,Male,67.0,1,123276.69,2,1.0,1.0,86507.88,1
687,France,Male,48.0,4,0.0,2,1.0,1.0,170893.85,0
792,France,Female,28.0,4,130142.79,1,1.0,0.0,38190.78,0
513,France,Male,44.0,1,63562.02,2,0.0,1.0,52629.73,1
637,France,Female,36.0,9,166939.88,1,1.0,1.0,72504.76,0
687,Spain,Male,35.0,8,100988.39,2,1.0,0.0,22247.27,0
755,France,Male,23.0,5,84284.48,2,1.0,1.0,62851.6,0
701,Spain,Female,42.0,5,0.0,2,0.0,0.0,24210.56,0
716,Spain,Female,29.0,8,0.0,2,0.0,0.0,78616.92,0
699,Germany,Male,36.0,2,123601.56,2,1.0,0.0,103557.85,0
458,Germany,Male,35.0,9,146780.52,2,1.0,1.0,3476.38,0
559,Spain,Female,40.0,5,139129.44,1,0.0,1.0,32635.54,0
529,Spain,Male,35.0,5,95772.97,1,1.0,1.0,112781.5,0
635,Spain,Male,46.0,8,0.0,2,1.0,1.0,60739.16,0
468,France,Female,42.0,5,0.0,2,1.0,0.0,125305.34,0
751,France,Female,30.0,6,0.0,2,1.0,0.0,15766.1,0
482,France,Male,38.0,4,124976.19,1,1.0,0.0,35848.12,0
566,France,Male,36.0,1,142120.91,1,1.0,0.0,79616.37,0
755,France,Male,38.0,9,148912.44,1,1.0,0.0,80416.16,0
699,France,Female,40.0,8,122038.34,1,1.0,0.0,102085.35,0
687,France,Female,72.0,9,0.0,1,0.0,1.0,69829.4,0
628,Spain,Male,28.0,4,0.0,2,1.0,1.0,176750.81,0
634,Germany,Male,43.0,3,212696.32,1,1.0,0.0,115268.86,0
726,France,Female,42.0,2,109471.79,1,0.0,1.0,175161.05,0
597,France,Male,41.0,4,153198.23,1,1.0,1.0,92090.36,0
598,Spain,Male,41.0,8,0.0,2,1.0,1.0,161954.43,0
777,France,Male,43.0,1,0.0,2,1.0,0.0,21785.91,0
445,France,Female,33.0,7,0.0,2,1.0,0.0,122625.68,0
850,France,Female,39.0,2,148586.64,1,1.0,1.0,176791.27,0
755,France,Male,42.0,2,119919.12,1,1.0,0.0,156868.21,0
613,Germany,Male,69.0,9,78778.49,1,0.0,1.0,8751.59,0
627,France,Male,70.0,1,94416.78,1,0.0,1.0,145299.5,0
567,Spain,Male,43.0,2,115643.58,2,0.0,0.0,174606.35,0
703,France,Male,37.0,1,149762.08,1,1.0,0.0,20629.4,1
600,France,Female,41.0,1,0.0,2,1.0,1.0,91193.65,0
639,France,Male,77.0,6,80926.02,2,1.0,1.0,55829.25,0
595,Germany,Male,34.0,2,87967.42,2,0.0,1.0,156309.52,0
644,Germany,Male,34.0,9,112746.54,2,0.0,0.0,141230.07,0
688,France,Male,29.0,1,0.0,2,1.0,0.0,154695.57,0
648,Germany,Female,43.0,1,107963.38,1,0.0,0.0,186438.86,1
850,France,Female,32.0,8,0.0,2,1.0,1.0,55593.8,0
595,France,Male,29.0,6,150685.79,1,1.0,0.0,87771.06,0
473,France,Female,39.0,9,117103.26,2,1.0,1.0,85937.52,1
529,France,Female,27.0,1,0.0,2,1.0,1.0,37769.98,0
695,Spain,Male,35.0,7,0.0,2,1.0,0.0,160387.98,0
581,Spain,Female,46.0,1,0.0,2,1.0,0.0,104272.04,0
558,France,Female,41.0,6,0.0,1,1.0,1.0,143585.29,1
822,France,Male,38.0,6,128289.7,3,1.0,0.0,9149.96,1
