CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
557,Spain,Male,34.0,3,0.0,1,0.0,1.0,123427.98,0
751,France,Male,47.0,5,142669.93,2,1.0,0.0,162760.96,0
479,France,Female,33.0,2,208165.53,1,0.0,0.0,50774.81,1
706,Spain,Male,28.0,3,0.0,2,0.0,1.0,181543.67,0
655,Germany,Male,41.0,8,125561.97,1,0.0,0.0,164040.94,1
736,Germany,Female,26.0,0,84587.9,1,0.0,1.0,188037.76,0
661,Germany,Male,35.0,8,124098.54,1,1.0,0.0,86678.48,0
706,Spain,Male,30.0,6,87609.68,2,0.0,0.0,137674.55,1
555,Spain,Male,32.0,4,0.0,2,1.0,1.0,54405.79,0
590,France,Male,47.0,0,117879.32,1,1.0,1.0,8214.46,0
705,Spain,Female,24.0,5,177799.83,2,0.0,0.0,79886.06,0
767,Germany,Male,20.0,3,119714.25,2,0.0,1.0,150135.38,0
584,Germany,Female,54.0,1,77354.37,1,0.0,0.0,138192.98,1
584,Germany,Female,31.0,6,152622.34,1,1.0,0.0,99298.8,0
738,France,Female,39.0,1,94435.45,2,0.0,1.0,189430.86,0
597,Spain,Female,46.0,4,0.0,2,1.0,0.0,58667.16,1
682,France,Male,38.0,4,107192.38,1,1.0,1.0,15669.17,0
698,Spain,Female,50.0,1,0.0,4,1.0,0.0,88566.9,1
560,France,Male,49.0,4,0.0,1,1.0,1.0,100075.1,1
564,France,Male,42.0,7,99824.45,1,1.0,1.0,36721.4,0
657,Spain,Female,41.0,6,112119.48,1,1.0,0.0,17536.82,0
796,France,Male,44.0,8,165326.2,1,1.0,1.0,57205.55,0
592,Germany,Male,36.0,2,104702.65,2,1.0,0.0,107948.72,0
545,Spain,Female,44.0,1,0.0,2,1.0,1.0,82614.89,0
647,France,Female,29.0,0,98263.46,2,1.0,0.0,164717.95,0
451,France,Female,36.0,2,0.0,2,1.0,1.0,180142.42,0
496,Germany,Female,55.0,4,125292.53,1,1.0,1.0,31532.96,1
648,Germany,Male,33.0,7,135310.41,2,0.0,1.0,171668.2,0
683,France,Male,31.0,2,0.0,2,0.0,1.0,77326.78,0
634,France,Female,41.0,7,0.0,2,1.0,1.0,131284.93,0
713,France,Male,53.0,6,115029.4,1,0.0,0.0,191521.32,1
678,Germany,Male,36.0,6,118448.15,2,1.0,0.0,53172.02,0
774,Spain,Female,36.0,8,117152.3,1,0.0,0.0,101828.39,0
563,France,Female,35.0,2,183572.84,1,1.0,1.0,66006.75,1
645,Spain,Female,37.0,7,0.0,2,1.0,0.0,13589.93,0
850,Spain,Male,54.0,7,108185.81,2,0.0,0.0,24093.4,1
550,France,Male,32.0,8,97514.07,1,1.0,1.0,199138.84,0
630,France,Female,28.0,1,0.0,2,1.0,1.0,133267.78,0
657,France,Female,37.0,2,0.0,2,1.0,1.0,7667.48,0
696,France,Male,42.0,4,0.0,1,0.0,0.0,126353.13,1
705,France,Male,25.0,9,0.0,2,0.0,1.0,112331.19,0
619,France,Female,30.0,7,70729.17,1,1.0,1.0,160948.87,0
690,Spain,Male,32.0,2,76087.98,1,0.0,1.0,151822.66,0
586,France,Male,27.0,5,130231.8,2,1.0,1.0,192427.16,0
663,France,Male,39.0,4,0.0,1,1.0,0.0,76884.05,0
772,France,Male,47.0,9,152347.01,1,0.0,1.0,17671.78,0
648,France,Female,43.0,7,139972.18,1,1.0,0.0,143668.58,0
553,Spain,Male,47.0,3,116528.15,1,0.0,0.0,145704.19,1
663,Germany,Male,28.0,8,123674.28,2,1.0,1.0,87985.2,0
650,France,Female,47.0,9,0.0,1,1.0,0.0,187943.6,0
633,Spain,Female,46.0,3,0.0,2,1.0,0.0,120250.58,0
659,France,Male,67.0,4,145981.87,1,1.0,1.0,131043.2,0
744,Germany,Male,29.0,6,123737.04,2,1.0,0.0,141558.04,0
769,France,Male,51.0,9,156773.78,2,1.0,0.0,40257.79,0
766,France,Male,32.0,6,185714.28,1,1.0,1.0,102502.5,0
682,France,Male,48.0,1,138778.15,1,0.0,1.0,168840.23,0
610,France,Female,45.0,1,0.0,2,1.0,1.0,199657.46,0
661,France,Male,35.0,5,0.0,1,1.0,0.0,155394.52,0
584,France,Male,35.0,9,0.0,2,1.0,0.0,192381.21,0
581,Spain,Male,46.0,2,79385.21,2,0.0,0.0,188492.82,0
678,Spain,Female,40.0,3,128398.38,1,1.0,0.0,168658.3,0
633,Spain,Male,42.0,10,0.0,1,0.0,1.0,79408.17,0
547,Germany,Male,49.0,8,121537.71,2,1.0,0.0,46521.45,1
450,Spain,Female,46.0,5,177619.71,1,1.0,0.0,54227.06,0
714,Spain,Male,45.0,8,150900.29,2,0.0,1.0,139889.15,0
645,France,Male,45.0,6,155417.61,1,0.0,1.0,3449.22,0
812,Germany,Male,25.0,5,54817.55,1,1.0,0.0,131660.31,0
810,Germany,Male,69.0,3,27288.43,1,1.0,1.0,110509.9,0
762,Spain,Female,69.0,9,183744.98,1,1.0,1.0,196993.69,0
662,France,Female,37.0,5,0.0,2,1.0,0.0,151871.84,0
554,Spain,Female,45.0,4,0.0,2,1.0,1.0,193412.05,0
650,Germany,Male,26.0,4,214346.96,2,1.0,0.0,128815.33,0
660,France,Male,37.0,2,97324.91,1,1.0,0.0,23291.83,0
603,France,Male,51.0,8,186825.57,1,1.0,0.0,93739.71,1
670,France,Male,22.0,2,114991.45,1,1.0,1.0,37392.56,0
604,Spain,Female,35.0,7,147285.52,1,1.0,1.0,57807.05,0
519,France,Male,42.0,8,0.0,2,1.0,1.0,101485.72,0
750,France,Female,38.0,1,0.0,2,1.0,0.0,47764.99,0
679,Spain,Male,58.0,9,109327.65,1,1.0,1.0,3829.13,0
657,France,Male,34.0,3,107136.6,1,1.0,0.0,153895.46,0
729,Germany,Male,39.0,6,127415.85,1,1.0,1.0,184977.2,1
615,France,Male,66.0,7,0.0,2,1.0,1.0,74580.8,0
805,Germany,Male,50.0,9,130023.38,1,1.0,0.0,62989.82,1
687,Germany,Male,33.0,9,135962.4,2,1.0,0.0,121747.96,0
614,Germany,Female,35.0,6,128100.28,1,0.0,0.0,69454.24,1
596,France,Male,39.0,9,0.0,1,1.0,0.0,48963.59,0
717,Spain,Female,22.0,6,101060.25,1,0.0,1.0,84699.56,0
661,Germany,Male,35.0,2,117212.18,1,1.0,1.0,83052.03,0
589,France,Female,46.0,10,107238.85,2,1.0,0.0,37024.28,0
500,Spain,Male,37.0,9,125822.21,1,1.0,0.0,111698.0,0
553,France,Male,37.0,2,0.0,2,1.0,0.0,33877.29,0
737,France,Male,44.0,7,0.0,2,0.0,0.0,57898.58,0
684,Germany,Male,42.0,1,117691.0,1,1.0,1.0,23135.65,1
582,France,Male,50.0,2,148942.0,1,1.0,1.0,116944.3,0
850,France,Male,38.0,1,0.0,2,1.0,1.0,80006.65,0
655,France,Female,41.0,5,0.0,1,0.0,0.0,36548.0,1
716,France,Male,35.0,4,144428.87,1,1.0,0.0,134132.65,0
535,Spain,Female,30.0,5,122924.75,1,0.0,0.0,62390.59,1
641,Germany,Female,37.0,7,62974.64,2,0.0,1.0,39016.43,0
646,Germany,Female,52.0,6,111739.4,2,0.0,1.0,68367.18,0
757,France,Female,71.0,0,88084.13,2,1.0,1.0,154337.47,0
530,France,Female,33.0,4,129307.32,1,1.0,1.0,172930.28,0
549,France,Male,31.0,4,0.0,2,0.0,1.0,25684.85,0
529,France,Male,43.0,6,93616.35,2,0.0,0.0,98348.66,0
633,France,Male,35.0,10,0.0,2,1.0,0.0,65675.47,0
490,France,Male,39.0,1,0.0,3,1.0,0.0,171060.01,1
489,France,Female,51.0,3,0.0,2,0.0,1.0,174098.28,1
696,France,Female,33.0,4,0.0,2,1.0,1.0,73371.65,0
745,France,Female,40.0,6,131184.67,1,1.0,1.0,49815.62,0
588,Germany,Male,49.0,6,132623.76,3,1.0,0.0,36292.94,1
593,Spain,Female,45.0,6,79259.75,1,1.0,0.0,55347.28,0
557,Germany,Male,57.0,1,120043.13,1,1.0,0.0,132370.75,1
750,Spain,Female,39.0,7,119565.92,1,1.0,0.0,87067.73,0
850,Germany,Male,56.0,1,169743.83,1,0.0,0.0,155850.4,1
623,Spain,Male,44.0,1,83325.77,1,0.0,1.0,80828.78,0
691,France,Female,33.0,6,0.0,2,1.0,1.0,100408.31,0
777,France,Male,37.0,1,0.0,1,1.0,1.0,126837.72,0
555,Spain,Male,27.0,5,0.0,2,0.0,0.0,96398.51,0
638,France,Male,41.0,1,131762.94,1,1.0,1.0,47675.29,0
777,Germany,Male,35.0,7,122917.69,1,1.0,1.0,76169.68,0
676,Germany,Female,26.0,1,108348.66,1,0.0,0.0,60231.74,1
712,France,Female,42.0,1,87842.98,1,0.0,0.0,92223.59,0
768,France,Male,30.0,6,0.0,2,1.0,1.0,199454.37,0
561,France,Male,56.0,7,152759.0,2,1.0,0.0,133167.11,1
616,France,Male,34.0,10,0.0,2,1.0,0.0,25662.27,0
507,Germany,Female,46.0,8,102785.16,1,1.0,1.0,70323.68,0
475,France,Female,32.0,8,119023.28,1,1.0,0.0,100816.29,0
778,Germany,Male,41.0,7,139706.31,1,1.0,0.0,63337.19,0
794,Spain,Male,45.0,8,88656.37,2,1.0,0.0,116547.31,0
646,France,Male,35.0,6,84026.86,1,0.0,1.0,164255.69,0
495,Germany,Female,34.0,9,117160.32,1,1.0,1.0,116069.24,1
540,Germany,Male,39.0,1,82531.11,1,1.0,0.0,114092.52,0
775,France,Female,66.0,9,0.0,2,1.0,1.0,67622.34,0
692,France,Male,30.0,2,0.0,2,0.0,1.0,130486.57,0
669,France,Male,57.0,5,0.0,2,1.0,1.0,56875.76,0
715,Germany,Female,34.0,9,102277.52,1,0.0,0.0,177852.57,1
704,Germany,Female,24.0,7,113034.22,1,1.0,0.0,162503.48,1
576,Germany,Male,63.0,3,148843.56,1,1.0,0.0,69414.13,1
627,France,Female,35.0,7,0.0,2,0.0,1.0,193022.44,0
757,France,Male,47.0,3,130747.1,1,1.0,0.0,143829.54,0
778,France,Male,42.0,6,0.0,2,1.0,1.0,106197.44,0
713,France,Female,59.0,3,0.0,2,1.0,1.0,62700.08,0
497,Germany,Female,32.0,8,111537.23,4,1.0,1.0,9497.99,1
766,Germany,Male,30.0,4,127786.28,2,1.0,1.0,28879.3,0
706,Spain,Female,29.0,1,209490.21,1,1.0,1.0,133267.69,1
523,France,Male,30.0,1,83181.29,1,1.0,1.0,138176.78,0
634,Spain,Female,36.0,1,0.0,1,1.0,1.0,143960.72,0
610,Spain,Female,46.0,5,116886.59,1,0.0,0.0,107973.44,0
640,France,Male,44.0,7,111833.47,1,1.0,0.0,67202.74,0
703,Spain,Male,39.0,6,152685.4,1,0.0,0.0,183656.12,0
774,France,Male,76.0,4,112510.89,1,1.0,1.0,143133.18,0
578,Spain,Male,23.0,8,0.0,2,1.0,0.0,112124.98,0
501,France,Female,34.0,3,107747.57,1,1.0,0.0,9249.36,0
850,Spain,Male,33.0,3,100476.46,2,1.0,1.0,136539.13,0
705,Germany,Female,43.0,7,79974.55,1,1.0,1.0,103108.33,0
695,France,Male,43.0,1,100421.1,1,1.0,1.0,101141.28,0
682,Spain,Female,50.0,10,128039.01,1,1.0,1.0,102260.16,0
768,Germany,Male,49.0,1,133384.66,1,1.0,0.0,102397.22,1
689,Spain,Female,31.0,4,0.0,2,1.0,1.0,136610.02,0
506,France,Male,34.0,7,0.0,2,0.0,0.0,115842.1,0
699,France,Male,27.0,1,0.0,2,1.0,0.0,93003.21,0
718,Germany,Male,26.0,7,147527.03,1,0.0,0.0,51099.56,0
636,France,Female,39.0,3,118336.14,1,1.0,0.0,184691.77,0
674,France,Male,36.0,2,154525.7,1,0.0,1.0,27468.72,0
511,France,Male,33.0,7,0.0,2,0.0,1.0,158313.87,0
678,Germany,Male,55.0,4,129646.91,1,1.0,1.0,184125.1,1
556,France,Female,51.0,8,61354.14,1,1.0,0.0,198810.65,1
581,France,Female,37.0,10,104255.03,1,1.0,0.0,86609.37,0
667,France,Male,40.0,8,72945.29,2,1.0,0.0,98931.5,0
846,France,Female,38.0,5,0.0,1,1.0,1.0,187616.16,0
540,France,Male,22.0,4,0.0,3,1.0,1.0,186233.26,1
666,Germany,Male,33.0,2,124125.26,1,1.0,0.0,81884.8,0
703,Spain,Male,73.0,5,137761.55,1,1.0,1.0,159677.46,0
658,France,Female,39.0,4,0.0,1,1.0,1.0,147530.06,0
524,Spain,Female,32.0,6,0.0,1,1.0,1.0,132861.9,1
550,France,Male,38.0,9,140278.99,3,1.0,1.0,171457.06,1
593,Germany,Male,74.0,5,161434.36,2,1.0,1.0,65532.17,0
687,France,Female,30.0,6,0.0,2,0.0,0.0,179206.92,0
642,Spain,Female,36.0,6,0.0,2,1.0,1.0,97938.59,0
611,Spain,Female,33.0,7,0.0,2,1.0,1.0,3729.89,0
350,France,Female,60.0,3,0.0,1,0.0,0.0,113796.15,1
753,Germany,Female,46.0,9,113909.69,3,1.0,0.0,92320.37,1
825,France,Male,40.0,6,132308.22,1,0.0,0.0,117122.5,0
550,Germany,Male,52.0,5,121016.23,1,1.0,1.0,41730.37,1
710,Spain,Male,33.0,1,0.0,2,1.0,0.0,168313.17,0
539,France,Male,39.0,1,0.0,1,1.0,1.0,28184.7,0
713,France,Male,36.0,8,133889.35,1,1.0,1.0,143265.65,0
