CreditScore,Geography,Gender,Age,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
557,0,0,3.5263605246161616,0.0,1,0.0,1.0,123427.98
751,1,0,3.8501476017100584,142669.93,2,1.0,0.0,162760.96
479,1,1,3.4965075614664802,208165.53,1,0.0,0.0,50774.81
706,0,0,3.332204510175204,0.0,2,0.0,1.0,181543.67
655,2,0,3.713572066704308,125561.97,1,0.0,0.0,164040.94
736,2,1,3.258096538021482,84587.9,1,0.0,1.0,188037.76
661,2,0,3.5553480614894135,124098.54,1,1.0,0.0,86678.48
706,0,0,3.4011973816621555,87609.68,2,0.0,0.0,137674.55
555,0,0,3.4657359027997265,0.0,2,1.0,1.0,54405.79
590,1,0,3.8501476017100584,117879.32,1,1.0,1.0,8214.46
705,0,1,3.1780538303479458,177799.83,2,0.0,0.0,79886.06
767,2,0,2.995732273553991,119714.25,2,0.0,1.0,150135.38
584,2,1,3.9889840465642745,77354.37,1,0.0,0.0,138192.98
584,2,1,3.4339872044851463,152622.34,1,1.0,0.0,99298.8
738,1,1,3.6635616461296463,94435.45,2,0.0,1.0,189430.86
597,0,1,3.828641396489095,0.0,2,1.0,0.0,58667.16
682,1,0,3.6375861597263857,107192.38,1,1.0,1.0,15669.17
698,0,1,3.912023005428146,0.0,4,1.0,0.0,88566.9
560,1,0,3.8918202981106265,0.0,1,1.0,1.0,100075.1
564,1,0,3.7376696182833684,99824.45,1,1.0,1.0,36721.4
657,0,1,3.713572066704308,112119.48,1,1.0,0.0,17536.82
796,1,0,3.784189633918261,165326.2,1,1.0,1.0,57205.55
592,2,0,3.58351893845611,104702.65,2,1.0,0.0,107948.72
545,0,1,3.784189633918261,0.0,2,1.0,1.0,82614.89
647,1,1,3.367295829986474,98263.46,2,1.0,0.0,164717.95
451,1,1,3.58351893845611,0.0,2,1.0,1.0,180142.42
496,2,1,4.007333185232471,125292.53,1,1.0,1.0,31532.96
648,2,0,3.4965075614664802,135310.41,2,0.0,1.0,171668.2
683,1,0,3.4339872044851463,0.0,2,0.0,1.0,77326.78
634,1,1,3.713572066704308,0.0,2,1.0,1.0,131284.93
713,1,0,3.970291913552122,115029.4,1,0.0,0.0,191521.32
678,2,0,3.58351893845611,118448.15,2,1.0,0.0,53172.02
774,0,1,3.58351893845611,117152.3,1,0.0,0.0,101828.39
563,1,1,3.5553480614894135,183572.84,1,1.0,1.0,66006.75
645,0,1,3.6109179126442243,0.0,2,1.0,0.0,13589.93
850,0,0,3.9889840465642745,108185.81,2,0.0,0.0,24093.4
550,1,0,3.4657359027997265,97514.07,1,1.0,1.0,199138.84
630,1,1,3.332204510175204,0.0,2,1.0,1.0,133267.78
657,1,1,3.6109179126442243,0.0,2,1.0,1.0,7667.48
696,1,0,3.7376696182833684,0.0,1,0.0,0.0,126353.13
705,1,0,3.2188758248682006,0.0,2,0.0,1.0,112331.19
619,1,1,3.4011973816621555,70729.17,1,1.0,1.0,160948.87
690,0,0,3.4657359027997265,76087.98,1,0.0,1.0,151822.66
586,1,0,3.295836866004329,130231.8,2,1.0,1.0,192427.16
663,1,0,3.6635616461296463,0.0,1,1.0,0.0,76884.05
772,1,0,3.8501476017100584,152347.01,1,0.0,1.0,17671.78
648,1,1,3.7612001156935624,139972.18,1,1.0,0.0,143668.58
553,0,0,3.8501476017100584,116528.15,1,0.0,0.0,145704.19
663,2,0,3.332204510175204,123674.28,2,1.0,1.0,87985.2
